,Difference_In_Median,P_Value,cancer_type,comparison,size
ATAD3A,,,colon,ATAD3A,
ATP5S,,,colon,ATP5S,
C1QBP,,,colon,C1QBP,
CHCHD2,,,colon,CHCHD2,
COL5A1,,,colon,COL5A1,
COX6A1,,,colon,COX6A1,
DNAJC19,,,colon,DNAJC19,
EMILIN1,,,colon,EMILIN1,
ENO2,,,colon,ENO2,
ETFRF1,,,colon,ETFRF1,
FAHD1,,,colon,FAHD1,
FAM160A1,,,colon,FAM160A1,
FMC1,,,colon,FMC1,
GRPEL1,,,colon,GRPEL1,
HACE1,,,colon,HACE1,
HSPA9,,,colon,HSPA9,
IDH3A,-0.12850000000000006,0.036229817601588166,colon,IDH3A,16.589364042728914
IDH3B,,,colon,IDH3B,
LAMA1,,,colon,LAMA1,
MDH2,,,colon,MDH2,
MRC2,,,colon,MRC2,
MRPL1,,,colon,MRPL1,
MRPL18,,,colon,MRPL18,
MRPL48,,,colon,MRPL48,
MRPS10,,,colon,MRPS10,
MRPS12,,,colon,MRPS12,
MRPS15,,,colon,MRPS15,
MRPS16,,,colon,MRPS16,
MRPS18B,,,colon,MRPS18B,
MRPS26,,,colon,MRPS26,
MRPS35,,,colon,MRPS35,
NDUFAF1,0.31405,0.028727687269400462,colon,NDUFAF1,17.749469540168857
OXNAD1,,,colon,OXNAD1,
PET117,,,colon,PET117,
PRSS8,-0.536,0.016064970085858082,colon,PRSS8,20.655570742426313
TFAM,,,colon,TFAM,
THY1,,,colon,THY1,
TST,,,colon,TST,
VCAN,,,colon,VCAN,
ATAD3A,0.31699999999999995,0.048268036156545936,endo,ATAD3A,15.15492857346024
ATP5S,0.34516,0.04867987819863785,endo,ATP5S,15.112447564740773
C1QBP,0.4159999999999999,0.005123652472175127,endo,C1QBP,26.369438603944616
CHCHD2,0.5285000000000001,0.0017098879968886055,endo,CHCHD2,31.856637047541337
COL5A1,-0.31799999999999995,0.013737346583043777,endo,COL5A1,21.438185635320362
COX6A1,0.30299999999999994,0.041836447135604825,endo,COX6A1,15.869936891640055
DNAJC19,0.36200000000000004,0.0039328499407759,endo,DNAJC19,27.691954700719585
EMILIN1,-0.528,0.027644274568623287,endo,EMILIN1,17.94168320248949
ENO2,0.6609999999999999,0.048611946197502726,endo,ENO2,15.119429858740935
ETFRF1,0.4585,0.019282429948358774,endo,ETFRF1,19.74280481537764
FAHD1,0.4315,0.03104024994107198,endo,FAHD1,17.362352657371403
FAM160A1,0.3065,0.023052876265878455,endo,FAM160A1,18.84982366777598
FMC1,0.31861799999999996,0.029264074502478324,endo,FMC1,17.65697320731065
GRPEL1,0.5538,0.025599507568583896,endo,GRPEL1,18.325910816419093
HACE1,-0.3925,0.037604009081856696,endo,HACE1,16.403223048764065
HSPA9,0.3281,0.04010962433658796,endo,HSPA9,16.08069482536653
IDH3A,0.4116000000000001,0.00677744346882536,endo,IDH3A,24.970776588165975
IDH3B,0.4612000000000001,0.006565577033582305,endo,IDH3B,25.129574398235533
LAMA1,-0.7656499999999999,0.011819519379746995,endo,LAMA1,22.1900146472141
MDH2,0.3541,0.018780816913186008,endo,MDH2,19.874596535216963
MRC2,-0.492,0.019303103377076213,endo,MRC2,19.737446996290036
MRPL1,0.4689,0.016136268796805856,endo,MRPL1,20.63342910131677
MRPL18,0.3861,0.006510382783065654,endo,MRPL18,25.171785126241154
MRPL48,0.3165,0.007019225897016275,endo,MRPL48,24.795511690525114
MRPS10,0.3078,0.03929693822194436,endo,MRPS10,16.183043354902303
MRPS12,0.3193,0.008011143679960173,endo,MRPS12,24.134608732880277
MRPS15,0.3161,0.01701267640879916,endo,MRPS15,20.3689827084733
MRPS16,0.39378,0.012729778734654106,endo,MRPS16,21.81905623986806
MRPS18B,0.3012,0.04698184474923015,endo,MRPS18B,15.289970169147177
MRPS26,0.3008,0.009685540323500923,endo,MRPS26,23.185605969764453
MRPS35,0.3415,0.006581758912220786,endo,MRPS35,25.11726628739355
NDUFAF1,,,endo,NDUFAF1,
OXNAD1,0.3405,0.014304706699415278,endo,OXNAD1,21.235833280258266
PET117,0.374,0.009157439955958585,endo,PET117,23.4659431007434
PRSS8,,,endo,PRSS8,
TFAM,0.4305,0.035448870036928905,endo,TFAM,16.698319506759095
THY1,-0.4366,0.04306360158570688,endo,THY1,15.725385747225074
TST,0.6735,0.02505454825030589,endo,TST,18.433499505270277
VCAN,-0.6930000000000001,0.04138158037528534,endo,VCAN,15.924597078139138
ATAD3A,-0.90185,0.003493584592827842,brca,ATAD3A,28.284134829580214
ATP5S,-0.64845,0.017750438533159888,brca,ATP5S,20.156725286361937
C1QBP,-0.5943,0.04438597426249581,brca,C1QBP,15.574158772190616
CHCHD2,-0.34315,0.04011408056719072,brca,CHCHD2,16.080139349823146
COL5A1,2.07625,0.0385128787554749,brca,COL5A1,16.283812902481117
COX6A1,-0.37605,0.02781887107957876,brca,COX6A1,17.910203363823012
DNAJC19,-0.6445500000000001,0.004532387336475327,brca,DNAJC19,26.982532362307804
EMILIN1,1.00625,0.03166960511846143,brca,EMILIN1,17.26198943570079
ENO2,-1.47275,0.009106451018334124,brca,ENO2,23.493861067494084
ETFRF1,-0.7133,0.02365748925151872,brca,ETFRF1,18.72037771959573
FAHD1,-0.53345,0.030970237355018,brca,FAHD1,17.373643104980534
FAM160A1,-1.2083,0.002811951135262785,brca,FAM160A1,29.369383412013878
FMC1,-1.01545,0.0133470187917474,brca,FMC1,21.582311152765975
GRPEL1,-0.76135,0.015302509863891159,brca,GRPEL1,20.89869210322907
HACE1,0.55455,0.015721896791721562,brca,HACE1,20.76350419104523
HSPA9,-0.8220000000000001,0.010835753769720327,brca,HSPA9,22.624520391864593
IDH3A,-1.0118,4.7603606461329104e-05,brca,IDH3A,49.763010168013444
IDH3B,-0.7713,0.002960372647392132,brca,IDH3B,29.112200620904837
LAMA1,0.6953499999999999,0.02486512536740981,brca,LAMA1,18.471445224526853
MDH2,-1.12695,0.0072770937598694374,brca,MDH2,24.61511852643868
MRC2,1.14675,0.04998338760823181,brca,MRC2,14.980322882979477
MRPL1,-0.8068,0.0014839143628205154,brca,MRPL1,32.56535921448162
MRPL18,-0.7389,0.0017003162518891002,brca,MRPL18,31.88470507349249
MRPL48,-0.64825,0.01840727517209633,brca,MRPL48,19.975046513626488
MRPS10,-0.7462,0.040604101751597454,brca,MRPS10,16.01943094556501
MRPS12,-0.7859999999999999,0.037613754629691236,brca,MRPS12,16.401927404303475
MRPS15,-0.5758,0.014646849784845444,brca,MRPS15,21.117649991964335
MRPS16,-0.7834,0.01823246365100075,brca,MRPS16,20.022757783727833
MRPS18B,-0.6473000000000001,0.025389357333706813,brca,MRPS18B,18.367125976868678
MRPS26,-0.6479,0.00531753902018176,brca,MRPS26,26.183723364239164
MRPS35,-0.62455,0.022719306209164517,brca,MRPS35,18.9227011108195
NDUFAF1,-0.8933,0.001974129190056906,brca,NDUFAF1,31.138139471440823
OXNAD1,-0.6424,0.00591822175733729,brca,OXNAD1,25.6485962701857
PET117,-0.9847,0.02988326984407445,brca,PET117,17.552282460861054
PRSS8,1.0316,0.0422404396842626,brca,PRSS8,15.821886152232418
TFAM,-0.5837,0.0032469707064877555,brca,TFAM,28.650164038091226
THY1,0.9036,0.03461514079945952,brca,THY1,16.81732048637642
TST,-0.74975,0.02915147101117338,brca,TST,17.676249519768927
VCAN,1.4450000000000005,0.04467594772597151,brca,VCAN,15.541600021869101
